,question,ans,blanks,a),b),c),d),e)
74767,The _____ in Lucy's childhood caused her to be very thrifty as she grew up and also made her very industrious. ,c,1,The wealth in Lucy's childhood caused her to be very thrifty as she grew up and also made her very industrious.,The poor in Lucy's childhood caused her to be very thrifty as she grew up and also made her very industrious.,The poverty in Lucy's childhood caused her to be very thrifty as she grew up and also made her very industrious.,The pour in Lucy's childhood caused her to be very thrifty as she grew up and also made her very industrious.,
74768,Can he _____ a bike? ,b,1,Can he throw a bike?,Can he ride a bike?,Can he go a bike?,Can he run a bike?,
74769,Tom _____ happy last night. ,c,1,Tom looks happy last night.,Tom feels happy last night.,Tom was happy last night.,,
74770,She wrote _____ name with the pen. ,b,1,She wrote him name with the pen.,She wrote her name with the pen.,She wrote his name with the pen.,She wrote hers name with the pen.,
74771," _____ getting off the bus, he was arrested. ",a,1,"On getting off the bus, he was arrested.","For getting off the bus, he was arrested.","At getting off the bus, he was arrested.","In getting off the bus, he was arrested.",
74772,I really enjoy listening to music _____ it helps me relax and takes my mind away from other cares of the day. ,a,1,I really enjoy listening to music because it helps me relax and takes my mind away from other cares of the day.,I really enjoy listening to music before it helps me relax and takes my mind away from other cares of the day.,I really enjoy listening to music unless it helps me relax and takes my mind away from other cares of the day.,I really enjoy listening to music until it helps me relax and takes my mind away from other cares of the day.,
74773,Is this handbag _____ ? ,c,1,Is this handbag her ?,Is this handbag she's ?,Is this handbag hers ?,Is this handbag she ?,
74774,Zoom _____ do the dishes. ,c,1,Zoom cans do the dishes.,Zoom cann't do the dishes.,Zoom can't do the dishes.,,
74775," _____ the lights off, they wouldn't go on with the work. ",a,1,"With the lights off, they wouldn't go on with the work.","Until the lights off, they wouldn't go on with the work.","Because the lights off, they wouldn't go on with the work.","As the lights off, they wouldn't go on with the work.",
74776,These technological developments were hardly _____ 30 years ago. ,d,1,These technological developments were hardly imagination 30 years ago.,These technological developments were hardly imaginative 30 years ago.,These technological developments were hardly imaginary 30 years ago.,These technological developments were hardly imaginable 30 years ago.,
74777,I play football at 3:00 _____ the afternoon. ,c,1,I play football at 3:00 on the afternoon.,I play football at 3:00 for the afternoon.,I play football at 3:00 in the afternoon.,,
74778,I watch TV _____ the evening. ,b,1,I watch TV at the evening.,I watch TV in the evening.,I watch TV on the evening.,I watch TV of the evening.,
74779, _____ that your schoolbag? ,c,1,Am that your schoolbag?,Are that your schoolbag?,Is that your schoolbag?,Be that your schoolbag?,
74780,"In my opinion, it is _____ raising some money for the disabled in that village. ",c,1,"In my opinion, it is worth raising some money for the disabled in that village.","In my opinion, it is worthy raising some money for the disabled in that village.","In my opinion, it is worthwhile raising some money for the disabled in that village.","In my opinion, it is worthily raising some money for the disabled in that village.",
74781,Daniel prefers staying at home to _____ swimming. ,c,1,Daniel prefers staying at home to go swimming.,Daniel prefers staying at home to goes swimming.,Daniel prefers staying at home to going swimming.,Daniel prefers staying at home to went swimming.,
74782,I will play _____ piano after school. ,b,1,I will play a piano after school.,I will play the piano after school.,I will play an piano after school.,,
74783,They will have a class meeting _____ 8:00. ,b,1,They will have a class meeting in 8:00.,They will have a class meeting at 8:00.,They will have a class meeting on 8:00.,They will have a class meeting for 8:00.,
74784,I'd like to do some voluntary work to help _____ old in the community. ,c,1,I'd like to do some voluntary work to help a old in the community.,I'd like to do some voluntary work to help an old in the community.,I'd like to do some voluntary work to help the old in the community.,I'd like to do some voluntary work to help / old in the community.,
74785,"His mother kept telling him that he should work harder, but _____ didn't help. ",d,1,"His mother kept telling him that he should work harder, but she didn't help.","His mother kept telling him that he should work harder, but he didn't help.","His mother kept telling him that he should work harder, but which didn't help.","His mother kept telling him that he should work harder, but it didn't help.",
74786,China is always carrying out foreign policies that are _____ enough to fit in with varieties of complicated international situations. ,b,1,China is always carrying out foreign policies that are particular enough to fit in with varieties of complicated international situations.,China is always carrying out foreign policies that are flexible enough to fit in with varieties of complicated international situations.,China is always carrying out foreign policies that are delicate enough to fit in with varieties of complicated international situations.,China is always carrying out foreign policies that are permanent enough to fit in with varieties of complicated international situations.,
74787,There _____ two birds in the tree. ,c,1,There have two birds in the tree.,There has two birds in the tree.,There are two birds in the tree.,There is two birds in the tree.,
74788,Come _____ meet my family. ,c,1,Come on meet my family.,Come for meet my family.,Come and meet my family.,,
74789," _____ the average age of the population increases, there are more and more old people to care for. ",c,1,"Unless the average age of the population increases, there are more and more old people to care for.","Until the average age of the population increases, there are more and more old people to care for.","As the average age of the population increases, there are more and more old people to care for.","While the average age of the population increases, there are more and more old people to care for.",
74790,Safety glasses are used _____ protecting your eyes. ,d,1,Safety glasses are used from protecting your eyes.,Safety glasses are used by protecting your eyes.,Safety glasses are used to protecting your eyes.,Safety glasses are used for protecting your eyes.,
74791,Cattle _____ sleeping on the farm. ,b,1,Cattle is sleeping on the farm.,Cattle are sleeping on the farm.,Cattle was sleeping on the farm.,Cattle be sleeping on the farm.,
74792,"The Thames, _____ is now clean enough to swim in, was polluted for over a hundred years. ",c,1,"The Thames, as is now clean enough to swim in, was polluted for over a hundred years.","The Thames, that is now clean enough to swim in, was polluted for over a hundred years.","The Thames, which is now clean enough to swim in, was polluted for over a hundred years.","The Thames, whose is now clean enough to swim in, was polluted for over a hundred years.",
74793,I like to live in a house _____ is big and bright. ,a,1,I like to live in a house that is big and bright.,I like to live in a house who is big and bright.,I like to live in a house how is big and bright.,I like to live in a house / is big and bright.,
74794,"Of all the books on the desk, _____ is of any use for our study. ",d,1,"Of all the books on the desk, not is of any use for our study.","Of all the books on the desk, no is of any use for our study.","Of all the books on the desk, any is of any use for our study.","Of all the books on the desk, none is of any use for our study.",
74795,Friends and neighbors become _____ when they visit each other more often. ,b,1,Friends and neighbors become farther when they visit each other more often.,Friends and neighbors become closer when they visit each other more often.,Friends and neighbors become stronger when they visit each other more often.,,
74796,"If you want to cut something, you may need _____ . ",a,1,"If you want to cut something, you may need scissors .","If you want to cut something, you may need nets .","If you want to cut something, you may need dough .",,
74797,Yesterday I helped a boy _____ got in trouble at the bus stop. ,b,1,Yesterday I helped a boy which got in trouble at the bus stop.,Yesterday I helped a boy who got in trouble at the bus stop.,Yesterday I helped a boy he got in trouble at the bus stop.,Yesterday I helped a boy what got in trouble at the bus stop.,
74798,"Give _____ some cigarettes, please. ",a,1,"Give me some cigarettes, please.","Give I some cigarettes, please.","Give my some cigarettes, please.","Give we some cigarettes, please.",
74799,The problem is simple. _____ can solve it.,b,1,The problem is simple. Nobody can solve it.,The problem is simple. Anybody can solve it.,The problem is simple. Somebody can solve it.,The problem is simple. Someone can solve it.,
74800,All my classmates like the new teacher _____ she is very thoughtful. ,d,1,All my classmates like the new teacher so she is very thoughtful.,All my classmates like the new teacher but she is very thoughtful.,All my classmates like the new teacher until she is very thoughtful.,All my classmates like the new teacher because she is very thoughtful.,
74801,English is understood all over the world _____ Turkish is only spoken by a few people outside Turkey. ,d,1,English is understood all over the world when Turkish is only spoken by a few people outside Turkey.,English is understood all over the world where Turkish is only spoken by a few people outside Turkey.,English is understood all over the world and Turkish is only spoken by a few people outside Turkey.,English is understood all over the world while Turkish is only spoken by a few people outside Turkey.,
74802,It was only later that I _____ my mistake. ,c,1,It was only later that I saw my mistake.,It was only later that I understood my mistake.,It was only later that I realized my mistake.,It was only later that I knew my mistake.,
74803, _____ you like grapes ?,c,1,Are you like grapes ?,Is you like grapes ?,Do you like grapes ?,,
74804,He is not very sure _____ himself. ,d,1,He is not very sure in himself.,He is not very sure for himself.,He is not very sure with himself.,He is not very sure of himself.,
74805,The children are playing _____ the playground. ,c,1,The children are playing to the playground.,The children are playing for the playground.,The children are playing on the playground.,The children are playing of the playground.,
74806,Ladies _____ their hats in a concert. ,a,1,Ladies remove their hats in a concert.,Ladies solve their hats in a concert.,Ladies seem their hats in a concert.,Ladies wonder their hats in a concert.,
74807, _____ your sister like sports? ,c,1,Do your sister like sports?,Are your sister like sports?,Does your sister like sports?,Is your sister like sports?,
74808,"At the police station, the woman cried and said that she was _____ and she didn't do that at all. ",c,1,"At the police station, the woman cried and said that she was offensive and she didn't do that at all.","At the police station, the woman cried and said that she was conversational and she didn't do that at all.","At the police station, the woman cried and said that she was innocent and she didn't do that at all.","At the police station, the woman cried and said that she was comfortable and she didn't do that at all.",
74809,Doctors have given him six months to live if he doesn't _____ drinking. ,a,1,Doctors have given him six months to live if he doesn't quit drinking.,Doctors have given him six months to live if he doesn't leave drinking.,Doctors have given him six months to live if he doesn't suggest drinking.,Doctors have given him six months to live if he doesn't recommend drinking.,
74810,My notebook is _____ the desk. ,c,1,My notebook is at the desk.,My notebook is of the desk.,My notebook is on the desk.,My notebook is to the desk.,
74811,These are my pencils. _____ pencils are in the backpack.,d,1,These are my pencils. She pencils are in the backpack.,These are my pencils. They pencils are in the backpack.,These are my pencils. It pencils are in the backpack.,These are my pencils. Her pencils are in the backpack.,
74812,Jim likes _____ games with me. ,b,1,Jim likes play games with me.,Jim likes playing games with me.,Jim likes plays games with me.,,
74813,Let's draw a _____ face. ,c,1,Let's draw a cat face.,Let's draw a cats face.,Let's draw a cat's face.,,
74814,"Look, the students are _____ an English party. ",a,1,"Look, the students are having an English party.","Look, the students are had an English party.","Look, the students are have an English party.",,
74815,Mr. Clark is great fun. _____ classes are very interesting.,b,1,Mr. Clark is great fun. Their classes are very interesting.,Mr. Clark is great fun. His classes are very interesting.,Mr. Clark is great fun. Her classes are very interesting.,,
74816,He _____ as if nothing had happened. ,c,1,He changed as if nothing had happened.,He made as if nothing had happened.,He behaved as if nothing had happened.,He decided as if nothing had happened.,
74817,Listen! Someone _____ singing in the next room. ,a,1,Listen! Someone is singing in the next room.,Listen! Someone are singing in the next room.,Listen! Someone does singing in the next room.,Listen! Someone do singing in the next room.,
74818,The referenced I have made to light and existence only touch the surface of a very _____ debate. ,a,1,The referenced I have made to light and existence only touch the surface of a very complicated debate.,The referenced I have made to light and existence only touch the surface of a very confused debate.,The referenced I have made to light and existence only touch the surface of a very content debate.,The referenced I have made to light and existence only touch the surface of a very confident debate.,
74819,The cats _____ fish . ,b,1,The cats likes fish .,The cats like fish .,The cats is fish .,,
74820,"Animals are part of nature, _____ should be well prepared. ",a,1,"Animals are part of nature, and should be well prepared.","Animals are part of nature, or should be well prepared.","Animals are part of nature, but should be well prepared.","Animals are part of nature, while should be well prepared.",
74821,"When the day came, Aunt Betsy picked up Tina. On the way to Aunt Betsy's house, Tina saw many horses in the fields. Tina liked _____ very much and she wished she could have a horse some day.",d,1,"When the day came, Aunt Betsy picked up Tina. On the way to Aunt Betsy's house, Tina saw many horses in the fields. Tina liked it very much and she wished she could have a horse some day.","When the day came, Aunt Betsy picked up Tina. On the way to Aunt Betsy's house, Tina saw many horses in the fields. Tina liked her very much and she wished she could have a horse some day.","When the day came, Aunt Betsy picked up Tina. On the way to Aunt Betsy's house, Tina saw many horses in the fields. Tina liked him very much and she wished she could have a horse some day.","When the day came, Aunt Betsy picked up Tina. On the way to Aunt Betsy's house, Tina saw many horses in the fields. Tina liked them very much and she wished she could have a horse some day.",
74822,Look! The girl is _____ under the tree. ,b,1,Look! The girl is dances under the tree.,Look! The girl is dancing under the tree.,Look! The girl is danced under the tree.,,
74823,"Excuse me, _____ do you say at the meeting？",b,1,"Excuse me, how do you say at the meeting？","Excuse me, what do you say at the meeting？","Excuse me, who do you say at the meeting？","Excuse me, when do you say at the meeting？",
74824,I _____ they had a history of only about 100 years. ,c,1,I thinks they had a history of only about 100 years.,I thinked they had a history of only about 100 years.,I thought they had a history of only about 100 years.,,
74825,Behind the library _____ the school offices. ,b,1,Behind the library is the school offices.,Behind the library are the school offices.,Behind the library am the school offices.,Behind the library / the school offices.,
74826,"I'm in _____ 2, Grade 4. ",a,1,"I'm in Class 2, Grade 4.","I'm in class 2, Grade 4.","I'm in Grade 2, Grade 4.",,
74827,"Sue thinks the dress is cool, _____ I don't like its color.",b,1,"Sue thinks the dress is cool, and I don't like its color.","Sue thinks the dress is cool, but I don't like its color.","Sue thinks the dress is cool, so I don't like its color.","Sue thinks the dress is cool, or I don't like its color.",
74828,This is my aunt. _____ a writer.,c,1,This is my aunt. She a writer.,This is my aunt. He a writer.,This is my aunt. She's a writer.,,
74829,Please _____ go inside. It says 'Danger!'.,c,1,Please not go inside. It says 'Danger!'.,Please can't go inside. It says 'Danger!'.,Please don't go inside. It says 'Danger!'.,,
74830,This is our library. You can borrow books _____ here.,c,1,This is our library. You can borrow books with here.,This is our library. You can borrow books to here.,This is our library. You can borrow books from here.,,
74831,No _____ . ,b,1,No smoke .,No smoking .,No smokes .,,
74832,"There is _____ ""u"" in the word ""quilt"" . ",b,1,"There is / ""u"" in the word ""quilt"" .","There is a ""u"" in the word ""quilt"" .","There is an ""u"" in the word ""quilt"" .","There is The ""u"" in the word ""quilt"" .",
74833,We'll listen to a talk _____ British history. ,d,1,We'll listen to a talk by British history.,We'll listen to a talk with British history.,We'll listen to a talk at British history.,We'll listen to a talk on British history.,
74834,My schedule was so tight that I could _____ find time to be with my family.,c,1,My schedule was so tight that I could accidentally find time to be with my family.,My schedule was so tight that I could chronologically find time to be with my family.,My schedule was so tight that I could scarcely find time to be with my family.,My schedule was so tight that I could inadequately find time to be with my family.,
74835,It makes sense that those introverted people can make up for _____ they lack in social skills with sincerity. ,b,1,It makes sense that those introverted people can make up for which they lack in social skills with sincerity.,It makes sense that those introverted people can make up for what they lack in social skills with sincerity.,It makes sense that those introverted people can make up for if they lack in social skills with sincerity.,It makes sense that those introverted people can make up for that they lack in social skills with sincerity.,
74836,What's the time _____ your watch? ,b,1,What's the time on your watch?,What's the time by your watch?,What's the time of your watch?,What's the time in your watch?,
74837,Everything depends on _____ we have enough time. ,c,1,Everything depends on that we have enough time.,Everything depends on how we have enough time.,Everything depends on whether we have enough time.,Everything depends on if we have enough time.,
74838,"He said, ""I am a party member. ""→ He said _____ was a party member. ",c,1,"He said, ""I am a party member. ""→ He said she was a party member.","He said, ""I am a party member. ""→ He said me was a party member.","He said, ""I am a party member. ""→ He said he was a party member.","He said, ""I am a party member. ""→ He said you was a party member.",
74839,Her birthday is _____ March. ,c,1,Her birthday is at March.,Her birthday is on March.,Her birthday is in March.,,
74840,Are you really interested _____ playing the violin or your father forced you to learn it?,a,1,Are you really interested in playing the violin or your father forced you to learn it?,Are you really interested with playing the violin or your father forced you to learn it?,Are you really interested at playing the violin or your father forced you to learn it?,Are you really interested about playing the violin or your father forced you to learn it?,
74841,The box is full _____ waste paper. ,c,1,The box is full at waste paper.,The box is full in waste paper.,The box is full of waste paper.,The box is full for waste paper.,
74842,I love blue best. What about _____ ?,d,1,I love blue best. What about your ?,I love blue best. What about yourself ?,I love blue best. What about yours ?,I love blue best. What about you ?,
74843,It's _____ interesting book. ,b,1,It's a interesting book.,It's an interesting book.,It's / interesting book.,,
74844,How old _____ you? ,c,1,How old am you?,How old is you?,How old are you?,,
74845,He is _____ English boy. We all like him.,b,1,He is a English boy. We all like him.,He is an English boy. We all like him.,He is the English boy. We all like him.,He is / English boy. We all like him.,
74846,"Most people on this island are recreational fishers, and _____ , fishing forms an actual part of their leisure time. ",c,1,"Most people on this island are recreational fishers, and accidentally , fishing forms an actual part of their leisure time.","Most people on this island are recreational fishers, and purposefully , fishing forms an actual part of their leisure time.","Most people on this island are recreational fishers, and obviously , fishing forms an actual part of their leisure time.","Most people on this island are recreational fishers, and formally , fishing forms an actual part of their leisure time.",
74847,Tom is helping his father water the flowers in the _____ . ,d,1,Tom is helping his father water the flowers in the study .,Tom is helping his father water the flowers in the bathroom .,Tom is helping his father water the flowers in the kitchen .,Tom is helping his father water the flowers in the garden .,
74848,I often see lights in that empty house. Do you think I _____ report it to the police?,a,1,I often see lights in that empty house. Do you think I should report it to the police?,I often see lights in that empty house. Do you think I may report it to the police?,I often see lights in that empty house. Do you think I will report it to the police?,I often see lights in that empty house. Do you think I can report it to the police?,
74849,There are a lot of flowers _____ the peach trees. ,a,1,There are a lot of flowers on the peach trees.,There are a lot of flowers in the peach trees.,There are a lot of flowers at the peach trees.,There are a lot of flowers of the peach trees.,
74850,It's raining outside. You _____ take your umbrella.,a,1,It's raining outside. You should take your umbrella.,It's raining outside. You can take your umbrella.,It's raining outside. You will take your umbrella.,It's raining outside. You may take your umbrella.,
74851,Little Tom likes all subjects except _____ science. ,c,1,Little Tom likes all subjects except an science.,Little Tom likes all subjects except a science.,Little Tom likes all subjects except / science.,Little Tom likes all subjects except the science.,
74852,People believe in myths in _____ times. ,b,1,People believe in myths in rare times.,People believe in myths in ancient times.,People believe in myths in new times.,,
74853," _____ all kinds of difficulties, the workers have made rapid progress in the construction of the World Expo 2010 Shanghai．",a,1,"With all kinds of difficulties, the workers have made rapid progress in the construction of the World Expo 2010 Shanghai．","For all kinds of difficulties, the workers have made rapid progress in the construction of the World Expo 2010 Shanghai．","Under all kinds of difficulties, the workers have made rapid progress in the construction of the World Expo 2010 Shanghai．","Beyond all kinds of difficulties, the workers have made rapid progress in the construction of the World Expo 2010 Shanghai．",
74854,Peter is good at _____ . ,b,1,Peter is good at run .,Peter is good at running .,Peter is good at runs .,,
74855,Only two books were left and the rest _____ taken away. ,d,1,Only two books were left and the rest had taken away.,Only two books were left and the rest has taken away.,Only two books were left and the rest was taken away.,Only two books were left and the rest were taken away.,
74856,Lily told her mother that she _____ go to school alone. ,a,1,Lily told her mother that she could go to school alone.,Lily told her mother that she will go to school alone.,Lily told her mother that she can go to school alone.,Lily told her mother that she won't go to school alone.,
74857,Look at this model plane. Michael made it all by _____ .,b,1,Look at this model plane. Michael made it all by myself .,Look at this model plane. Michael made it all by himself .,Look at this model plane. Michael made it all by herself .,,
74858,"The best books are treasures of good words and golden thoughts, _____ , remembered and cherished, become our constant companions. ",b,1,"The best books are treasures of good words and golden thoughts, that , remembered and cherished, become our constant companions.","The best books are treasures of good words and golden thoughts, which , remembered and cherished, become our constant companions.","The best books are treasures of good words and golden thoughts, where , remembered and cherished, become our constant companions.","The best books are treasures of good words and golden thoughts, what , remembered and cherished, become our constant companions.",
74859,There _____ some juice in the bottle. ,b,1,There am some juice in the bottle.,There is some juice in the bottle.,There are some juice in the bottle.,,
74860,There isn't _____ milk in the bottle. ,c,1,There isn't some milk in the bottle.,There isn't many milk in the bottle.,There isn't any milk in the bottle.,,
74861,Young students are _____ not to smoke both in and out school. ,b,1,Young students are suggested not to smoke both in and out school.,Young students are requested not to smoke both in and out school.,Young students are hoped not to smoke both in and out school.,Young students are invited not to smoke both in and out school.,
74862,We learned at a young age that the earth _____ round. ,b,1,We learned at a young age that the earth was round.,We learned at a young age that the earth is round.,We learned at a young age that the earth are round.,We learned at a young age that the earth were round.,
74863,Yao Ming is in _____ now. ,c,1,Yao Ming is in CBA. now.,Yao Ming is in CUB now.,Yao Ming is in NB now.,Yao Ming is in WCBA now.,
74864,Peter is not good at _____ . His writing mistakes often make his teacher mad.,c,1,Peter is not good at singing . His writing mistakes often make his teacher mad.,Peter is not good at painting . His writing mistakes often make his teacher mad.,Peter is not good at spelling . His writing mistakes often make his teacher mad.,Peter is not good at cooking . His writing mistakes often make his teacher mad.,
74865,The soup will _____ better with more salt. ,c,1,The soup will eat better with more salt.,The soup will look better with more salt.,The soup will taste better with more salt.,The soup will feel better with more salt.,
74866,Students should sleep at _____ /li:st/ nine hours every night. ,b,1,Students should sleep at less /li:st/ nine hours every night.,Students should sleep at least /li:st/ nine hours every night.,Students should sleep at listen /li:st/ nine hours every night.,Students should sleep at last /li:st/ nine hours every night.,
74867,"_____ a snowy night, a rabbit went out to look for some food.",c,1,"In a snowy night, a rabbit went out to look for some food.","At a snowy night, a rabbit went out to look for some food.","On a snowy night, a rabbit went out to look for some food.","With a snowy night, a rabbit went out to look for some food.",
74868,Jack likes walking _____ the zoo because he can see many interesting animals. ,a,1,Jack likes walking through the zoo because he can see many interesting animals.,Jack likes walking over the zoo because he can see many interesting animals.,Jack likes walking across the zoo because he can see many interesting animals.,Jack likes walking under the zoo because he can see many interesting animals.,
74869,You _____ play football in the street. ,c,1,You aren't play football in the street.,You don't play football in the street.,You can't play football in the street.,,
74870,I was cleaning my bedroom. _____ a mouse came out.,a,1,I was cleaning my bedroom. Suddenly a mouse came out.,I was cleaning my bedroom. Actually a mouse came out.,I was cleaning my bedroom. Luckily a mouse came out.,I was cleaning my bedroom. Badly a mouse came out.,
74871,The rose _____ good. ,a,1,The rose smells good.,The rose sound good.,The rose smell good.,,
74872,His achievements have increased rice production _____ 20%. ,a,1,His achievements have increased rice production by 20%.,His achievements have increased rice production in 20%.,His achievements have increased rice production to 20%.,His achievements have increased rice production at 20%.,
74873,When you run so fast to get _____ ，you miss the fun of getting there．Life is not a race，so take it slower．,d,1,When you run so fast to get anywhere ，you miss the fun of getting there．Life is not a race，so take it slower．,When you run so fast to get everywhere ，you miss the fun of getting there．Life is not a race，so take it slower．,When you run so fast to get nowhere ，you miss the fun of getting there．Life is not a race，so take it slower．,When you run so fast to get somewhere ，you miss the fun of getting there．Life is not a race，so take it slower．,
74874,Now it's _____ seven o'clock.,c,1,Now it's warm seven o'clock.,Now it's cold seven o'clock.,Now it's nine seven o'clock.,,
74875,They are my parents. They _____ to go shopping.,b,1,They are my parents. They liking to go shopping.,They are my parents. They like to go shopping.,They are my parents. They likes to go shopping.,,
74876,I'm going to be a teacher _____ I grow up. ,b,1,I'm going to be a teacher what I grow up.,I'm going to be a teacher when I grow up.,I'm going to be a teacher who I grow up.,I'm going to be a teacher where I grow up.,
74877,"It was hard for him to learn English in a family, in which _____ of the parents spoke the language. ",b,1,"It was hard for him to learn English in a family, in which none of the parents spoke the language.","It was hard for him to learn English in a family, in which neither of the parents spoke the language.","It was hard for him to learn English in a family, in which both of the parents spoke the language.","It was hard for him to learn English in a family, in which each of the parents spoke the language.",
74878,No one can break the _____ in our school. ,b,1,No one can break the troubles in our school.,No one can break the rules in our school.,No one can break the ropes in our school.,No one can break the actions in our school.,
74879,High interest rates _____ people from borrowing money. ,a,1,High interest rates discourage people from borrowing money.,High interest rates defeat people from borrowing money.,High interest rates disturb people from borrowing money.,High interest rates depress people from borrowing money.,
74880,Here _____ some photos of me. One of them was taken in Shanghai.,b,1,Here is some photos of me. One of them was taken in Shanghai.,Here are some photos of me. One of them was taken in Shanghai.,Here be some photos of me. One of them was taken in Shanghai.,Here was some photos of me. One of them was taken in Shanghai.,
74881,There _____ lots of pictures. ,c,1,There is lots of pictures.,There am lots of pictures.,There are lots of pictures.,,
74882,It is what you do rather than what you say _____ matters. ,d,1,It is what you do rather than what you say what matters.,It is what you do rather than what you say which matters.,It is what you do rather than what you say this matters.,It is what you do rather than what you say that matters.,
74883,Mount Wuyi is such an attractive place of interest _____ everyone likes to visit.,c,1,Mount Wuyi is such an attractive place of interest that everyone likes to visit.,Mount Wuyi is such an attractive place of interest which everyone likes to visit.,Mount Wuyi is such an attractive place of interest as everyone likes to visit.,Mount Wuyi is such an attractive place of interest what everyone likes to visit.,
74884,The little girl doesn't like _____ uniform of her school. ,c,1,The little girl doesn't like a uniform of her school.,The little girl doesn't like an uniform of her school.,The little girl doesn't like the uniform of her school.,The little girl doesn't like / uniform of her school.,
74885,My question is _____ Henry landed in Britain. ,b,1,My question is that Henry landed in Britain.,My question is how Henry landed in Britain.,My question is who Henry landed in Britain.,My question is what Henry landed in Britain.,
74886,How much information can you _____ store on your hard drive?,b,1,How much information can you buy store on your hard drive?,How much information can you keep store on your hard drive?,How much information can you shop store on your hard drive?,,
74887,That is my mother. She is _____ TV.,c,1,That is my mother. She is of TV.,That is my mother. She is to TV.,That is my mother. She is on TV.,,
74888,"Open _____ door, please. ",c,1,"Open a door, please.","Open an door, please.","Open the door, please.","Open / door, please.",
74889,"He failed his job interview again, and he felt really _____ about the future. ",c,1,"He failed his job interview again, and he felt really homeless about the future.","He failed his job interview again, and he felt really helpless about the future.","He failed his job interview again, and he felt really hopeless about the future.","He failed his job interview again, and he felt really hopeful about the future.",
74890,The baby began to _____ /kraɪ/ because he couldn't see his mom. ,a,1,The baby began to cry /kraɪ/ because he couldn't see his mom.,The baby began to try /kraɪ/ because he couldn't see his mom.,The baby began to clay /kraɪ/ because he couldn't see his mom.,The baby began to sky /kraɪ/ because he couldn't see his mom.,
74891,Studies show that kids living and studying in a harmonious environment are less likely to become _____ . ,c,1,Studies show that kids living and studying in a harmonious environment are less likely to become embarrassed .,Studies show that kids living and studying in a harmonious environment are less likely to become enthusiastic .,Studies show that kids living and studying in a harmonious environment are less likely to become aggressive .,Studies show that kids living and studying in a harmonious environment are less likely to become considerate .,
74892,Noises can _____ people's lives. ,d,1,Noises can fighting people's lives.,Noises can keep people's lives.,Noises can weather people's lives.,Noises can affect people's lives.,
74893,Let the negative feelings go that we might have to tolerate _____ . ,c,1,Let the negative feelings go that we might have to tolerate though .,Let the negative feelings go that we might have to tolerate however .,Let the negative feelings go that we might have to tolerate otherwise .,Let the negative feelings go that we might have to tolerate regardless .,
74894,How _____ he? He is fine. ,b,1,How are he? He is fine.,How is he? He is fine.,How am he? He is fine.,,
74895, _____ is a healthy drink. ,a,1,Water is a healthy drink.,Egg is a healthy drink.,Apple is a healthy drink.,,
74896,These are photos _____ my family. ,a,1,These are photos of my family.,These are photos on my family.,These are photos at my family.,,
74897,You can't see things clearly through a telescope unless it is _____ correctly to your sight. ,d,1,You can't see things clearly through a telescope unless it is adapted correctly to your sight.,You can't see things clearly through a telescope unless it is operated correctly to your sight.,You can't see things clearly through a telescope unless it is preserved correctly to your sight.,You can't see things clearly through a telescope unless it is adjusted correctly to your sight.,
74898,Traveling _____ time and space is what he has been dreaming of. ,d,1,Traveling by time and space is what he has been dreaming of.,Traveling into time and space is what he has been dreaming of.,Traveling over time and space is what he has been dreaming of.,Traveling through time and space is what he has been dreaming of.,
74899,Some books are _____ the shelf. ,c,1,Some books are from the shelf.,Some books are at the shelf.,Some books are on the shelf.,Some books are to the shelf.,
74900,The teaching facilities are _____ and the learning environment is excellent in No. 7 High School. ,b,1,The teaching facilities are specific and the learning environment is excellent in No. 7 High School.,The teaching facilities are superb and the learning environment is excellent in No. 7 High School.,The teaching facilities are systematic and the learning environment is excellent in No. 7 High School.,The teaching facilities are supreme and the learning environment is excellent in No. 7 High School.,
74901,The children are _____ for the bus. ,a,1,The children are waiting for the bus.,The children are catching for the bus.,The children are shining for the bus.,,
74902,Show _____ your sharpener. ,c,1,Show I your sharpener.,Show my your sharpener.,Show me your sharpener.,,
74903,"As a matter of fact, in most countries, some top players _____ sports lack media attention aren't well paid. ",c,1,"As a matter of fact, in most countries, some top players who sports lack media attention aren't well paid.","As a matter of fact, in most countries, some top players where sports lack media attention aren't well paid.","As a matter of fact, in most countries, some top players whose sports lack media attention aren't well paid.","As a matter of fact, in most countries, some top players what sports lack media attention aren't well paid.",
74904,What _____ your job?,b,1,What am your job?,What is your job?,What are your job?,What be your job?,
74905,Would you _____ opening the window? It's very hot. ,b,1,Would you please opening the window? It's very hot.,Would you mind opening the window? It's very hot.,Would you like opening the window? It's very hot.,,
74906,"Put it _____ to my account, please. ",d,1,"Put it out to my account, please.","Put it aside to my account, please.","Put it away to my account, please.","Put it down to my account, please.",
74907,The apples _____ big and red. ,c,1,The apples am big and red.,The apples is big and red.,The apples are big and red.,,
74908,An _____ refers to an exciting thing that happens to someone. ,b,1,An audience refers to an exciting thing that happens to someone.,An adventure refers to an exciting thing that happens to someone.,An experiment refers to an exciting thing that happens to someone.,,
74909,You _____ walk on the grass. ,b,1,You must walk on the grass.,You shouldn't walk on the grass.,You needn't walk on the grass.,You not walk on the grass.,
74910,Leo _____ TV last night. ,b,1,Leo watch TV last night.,Leo watched TV last night.,Leo watching TV last night.,,
